HY020,HY022,HY023,HB070,HB100,head_age,head_PB150,head_PB190,head_PE021,head_PL051A,head_PL060,head_PY010N,head_PH010,household_size,mean_age,std_age,num_males,max_education,num_employed,total_employee_income,total_pension,avg_health,employment_rate,num_children,num_elderly,num_working_age,dependency_ratio,income_per_capita,vhPobreza
4600.0,4600.0,4600.0,102.0,5.0,60,1,2.0,,51.0,36.0,0.0,3.0,2,58.5,2.1213203435596424,1,,0,0.0,0.0,3.0,0.0,0,0,2,0.0,0.0,1
42420.1,42420.1,-922.0,201.0,8.0,74,2,2.0,,,,0.0,2.0,2,75.0,1.4142135623730951,1,,0,0.0,0.0,2.5,0.0,0,2,0,2.0,0.0,0
32568.91,30168.91,30168.91,301.0,10.0,42,1,1.0,,72.0,40.0,13002.16,2.0,2,41.5,0.7071067811865476,1,,0,26268.9,0.0,2.5,0.0,0,0,2,0.0,13134.45,0
95213.38,77613.38,77613.38,401.0,10.0,61,1,2.0,50.0,23.0,40.0,30732.0,2.0,4,41.75,21.187653637594387,2,50.0,0,77532.0,0.0,2.0,0.0,0,0,4,0.0,19383.0,0
58123.2,50560.0,50560.0,501.0,7.0,55,1,2.0,,51.0,62.0,18200.0,2.0,3,45.333333333333336,17.616280348965084,2,,0,42900.0,7563.2,2.0,0.0,0,0,3,0.0,14300.0,0
55665.16,14222.88,14222.88,603.0,11.0,61,1,2.0,50.0,,,0.0,2.0,3,48.666666666666664,18.0092568789868,1,50.0,0,10008.54,3710.2,1.3333333333333333,0.0,0,0,3,0.0,3336.1800000000003,0
47833.62,23971.62,23971.62,701.0,22.0,47,1,2.0,50.0,93.0,40.0,23971.62,3.0,2,45.5,2.1213203435596424,1,50.0,0,23971.62,0.0,3.0,0.0,0,0,2,0.0,11985.81,0
42725.95,42725.95,42725.95,801.0,16.0,55,1,1.0,,74.0,40.0,23428.21,2.0,2,53.0,2.8284271247461903,1,,0,35980.95,0.0,2.5,0.0,0,0,2,0.0,17990.475,0
28262.6,28262.6,-450.0,901.0,9.0,51,2,2.0,,,,0.0,2.0,2,58.5,10.606601717798213,1,,0,0.0,0.0,2.0,0.0,0,1,1,1.0,0.0,0
18165.85,18165.85,18165.85,1001.0,6.0,41,2,2.0,,24.0,40.0,13188.36,1.0,2,46.5,7.7781745930520225,1,,0,13188.36,0.0,1.0,0.0,0,0,2,0.0,6594.18,1
50821.11,42145.29,42145.29,1101.0,7.0,42,1,2.0,,21.0,40.0,24092.18,2.0,2,40.5,2.1213203435596424,1,,0,41905.29,0.0,1.5,0.0,0,0,2,0.0,20952.645,0
27966.51,26766.51,26766.51,1301.0,12.0,42,1,1.0,40.0,21.0,40.0,11456.51,2.0,2,43.5,2.1213203435596424,1,40.0,0,26370.11,0.0,2.0,0.0,0,0,2,0.0,13185.055,0
33791.25,33791.25,33791.25,1401.0,11.0,45,2,2.0,34.0,91.0,14.0,11546.37,3.0,5,31.6,13.86722755275906,3,34.0,0,37484.4,0.0,3.0,0.0,0,0,5,0.0,7496.88,1
29407.7,29407.7,17699.6,1501.0,15.0,60,2,1.0,,42.0,35.0,14150.82,2.0,2,73.0,18.384776310850235,0,,0,14150.82,0.0,2.5,0.0,0,1,1,1.0,7075.41,0
45105.33,45105.33,45105.33,1601.0,,46,1,2.0,,31.0,40.0,25561.59,3.0,2,45.5,0.7071067811865476,1,,0,42075.32,0.0,2.5,0.0,0,0,2,0.0,21037.66,0
33510.4,33510.4,-580.0,1701.0,11.0,66,2,4.0,,,,0.0,3.0,1,66.0,,0,,0,0.0,0.0,3.0,0.0,0,1,0,1.0,0.0,0
25421.5,25421.5,4855.0,1801.0,11.0,74,2,4.0,,,,0.0,3.0,1,74.0,,0,,0,0.0,0.0,3.0,0.0,0,1,0,1.0,0.0,0
37478.07,37478.07,37478.07,1901.0,16.0,55,2,2.0,,51.0,60.0,0.0,2.0,2,56.5,2.1213203435596424,1,,0,34580.0,0.0,2.5,0.0,0,0,2,0.0,17290.0,0
14492.5,14492.5,-230.0,2001.0,20.0,67,2,2.0,,,,0.0,2.0,2,68.5,2.1213203435596424,1,,0,0.0,0.0,2.5,0.0,0,2,0,2.0,0.0,1
45448.99,45448.99,45448.99,2101.0,8.0,49,2,2.0,,34.0,29.0,21840.0,2.0,3,41.0,19.28730152198591,2,,0,45204.14,0.0,2.3333333333333335,0.0,0,0,3,0.0,15068.046666666667,0
121102.32,117244.12,117244.12,2201.0,10.0,59,1,2.0,,24.0,37.0,72150.0,2.0,3,46.666666666666664,19.655363983740756,1,,0,115998.12,3858.2,2.0,0.0,0,0,3,0.0,38666.04,0
15419.4,15419.4,6350.0,2301.0,11.0,71,2,3.0,,14.0,36.0,0.0,1.0,1,71.0,,0,,0,0.0,0.0,1.0,0.0,0,1,0,1.0,0.0,0
23162.6,23162.6,23162.6,2401.0,6.0,36,1,1.0,,24.0,35.0,21811.87,2.0,1,36.0,,1,,0,21811.87,0.0,2.0,0.0,0,0,1,0.0,21811.87,0
12445.9,11077.9,4197.0,2501.0,79.0,84,2,2.0,,,,0.0,3.0,2,65.0,26.870057685088806,1,,0,0.0,0.0,2.5,0.0,0,1,1,1.0,0.0,1
19844.91,19844.91,-769.08,2601.0,9.0,84,2,4.0,,,,0.0,3.0,1,84.0,,0,,0,0.0,0.0,3.0,0.0,0,1,0,1.0,0.0,0
63206.94,63206.94,1384.24,2702.0,8.0,77,1,2.0,,,,0.0,2.0,2,77.5,0.7071067811865476,1,,0,0.0,0.0,1.5,0.0,0,2,0,2.0,0.0,0
52790.0,52790.0,52790.0,2801.0,8.0,46,1,2.0,,31.0,43.0,37700.0,1.0,2,46.0,0.0,1,,0,51740.0,0.0,1.0,0.0,0,0,2,0.0,25870.0,0
16163.35,13200.0,13200.0,2901.0,7.0,49,2,5.0,,32.0,40.0,13000.0,2.0,1,49.0,,0,,0,13000.0,506.5,2.0,0.0,0,0,1,0.0,13000.0,1
29394.3,20790.0,20790.0,3001.0,20.0,58,1,2.0,35.0,54.0,40.0,20540.0,3.0,3,44.333333333333336,21.962088546705512,2,35.0,0,20540.0,0.0,3.0,0.0,0,0,3,0.0,6846.666666666667,0
67580.0,67580.0,67580.0,3101.0,8.0,45,2,1.0,,24.0,40.0,31200.0,3.0,2,45.0,0.0,1,,0,67600.0,0.0,2.5,0.0,0,0,2,0.0,33800.0,0
23533.08,23533.08,23533.08,3201.0,7.0,52,2,1.0,,51.0,30.0,22336.88,2.0,1,52.0,,0,,0,22336.88,0.0,2.0,0.0,0,0,1,0.0,22336.88,0
17224.33,17074.33,17074.33,3301.0,19.0,52,1,2.0,35.0,51.0,50.0,0.0,2.0,4,36.25,17.09532099727876,3,35.0,0,11535.78,0.0,2.0,0.0,0,0,4,0.0,2883.945,1
44877.62,44877.62,31220.22,3401.0,7.0,55,2,5.0,,13.0,40.0,18598.27,2.0,2,60.5,7.7781745930520225,1,,0,30030.39,0.0,2.0,0.0,0,1,1,1.0,15015.195,0
14725.5,5125.5,0.0,3501.0,8.0,62,2,4.0,,,,0.0,4.0,1,62.0,,0,,0,0.0,0.0,4.0,0.0,0,0,1,0.0,0.0,0
19784.34,19784.34,19784.34,3601.0,12.0,40,2,5.0,,23.0,12.0,20184.34,2.0,1,40.0,,0,,0,20184.34,0.0,2.0,0.0,0,0,1,0.0,20184.34,0
22621.72,20686.72,20686.72,3701.0,14.0,51,2,2.0,35.0,93.0,40.0,15346.72,4.0,3,39.0,19.078784028338912,1,35.0,0,15346.72,0.0,2.6666666666666665,0.0,1,0,2,0.5,5115.573333333333,1
21569.7,21569.7,500.0,3801.0,6.0,77,2,4.0,,,,0.0,4.0,1,77.0,,0,,0,0.0,0.0,4.0,0.0,0,1,0,1.0,0.0,0
35631.1,35631.1,635.0,3901.0,8.0,73,1,2.0,,,,0.0,2.0,2,74.0,1.4142135623730951,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
22044.5,22044.5,110.0,4001.0,11.0,71,1,2.0,,,,0.0,2.0,2,72.5,2.1213203435596424,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
40390.51,40390.51,1623.31,4101.0,7.0,73,1,2.0,,,,0.0,3.0,2,73.0,0.0,1,,0,0.0,0.0,3.0,0.0,0,2,0,2.0,0.0,0
71047.6,71047.6,35500.0,4201.0,6.0,68,2,2.0,,32.0,37.0,0.0,1.0,3,57.333333333333336,20.231987873991358,1,,0,36400.0,0.0,1.6666666666666667,0.0,0,2,1,2.0,12133.333333333334,0
36618.9,36618.9,-1149.0,4301.0,22.0,66,1,2.0,,,,0.0,2.0,2,65.5,0.7071067811865476,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
39672.75,39672.75,-675.34,4401.0,10.0,69,1,2.0,,,,0.0,2.0,2,69.0,0.0,1,,0,0.0,0.0,2.0,0.0,0,2,0,2.0,0.0,0
94065.9,70665.9,55870.0,4501.0,12.0,62,1,2.0,,34.0,40.0,19500.0,3.0,2,62.0,0.0,1,,0,54600.0,0.0,3.0,0.0,0,0,2,0.0,27300.0,0
26867.61,19827.61,12500.51,4601.0,13.0,43,2,4.0,,51.0,30.0,11602.54,2.0,1,43.0,,0,,0,11602.54,0.0,2.0,0.0,0,0,1,0.0,11602.54,0
